University ,"Doctorate 
Bachelor Awarded","Doctorate awarded 
to academic staff","Teaching 
reputation","Institutional income 
to academic staff","Students to 
academic staff ratio",Publications per staff,"Research income 
to academic staff","Research 
reputation","Industry income 
to academic staff","Proportion of international 
academic staff","International 
co-authorship","Proportion of 
international students",
University of Newcastle,0.05,0.35,58.9,689223,29.5,12.6,152616,98.3,47858,42.10%,52.80%,17.60%,
University of Auckland,0.06,0.32,160.5,560943,22.1,12.5,167140,214.8,37164,38.30%,58.50%,31.50%,
James Cook University,0.04,0.17,40.2,564047,20.1,11.9,39849,51.9,12511,45.20%,56.20%,31.70%,
Griffith University,0.04,0.25,63.7,602716,32.9,13.8,79747,115.2,30354,51.10%,50%,17.50%,
University of Canberra,0.01,0.09,26.7,706706,35.5,11.8,72708,42,11905,33.40%,49.10%,26%,
Curtin University,0.05,0.21,85.1,293879,20.8,12.9,51950,107.2,15124,58.90%,60.20%,31.50%,
RMIT University,0.05,0.24,74.9,706560,23.6,10.4,68112,108.2,20615,62.50%,54.20%,34.30%,
La Trobe University,0.03,0.22,51.7,674479,27.4,15.7,112264,48.7,28505,35.20%,47.70%,33%,
National University of Singapore,0.1,0.45,1345.9,2429653,19.8,14.2,620447,2315.2,110076,57.30%,65.30%,24.60%,
The University of Queensland,0.18,1,320.7,1190288,34.2,19.3,404007,623.5,93991,31.20%,57.10%,40.80%,
University of Sydney,0.12,0.32,418.1,743710,19,15.3,161782,820.4,71677,27.80%,54.20%,44.70%,
Macquarie University,0.05,0.62,71.1,1767426,69,16.2,239723,124.7,53861,32.10%,55%,27.10%,
Deakin University,0.03,0.18,62.7,640973,33.9,12.7,49331,103.9,14896,33.60%,53.10%,25%,
Monash University,0.07,0.56,447.3,1360371,42.5,18,355868,731.8,84269,27%,56%,40.60%,
Queensland University of Technology,0.04,0.26,73.8,778017,37.9,15.6,129248,141.7,25258,44.70%,54.20%,16.50%,
University of Technology Sydney,0.05,0.49,71.4,959378,35.1,20,192675,129,24581,44.20%,63%,30.70%,
UNSW Sydney,0.16,0.82,213.4,1227598,36.3,19.6,394549,376,51157,54.70%,56.20%,40.20%,
University of Tasmania,0.07,0.28,42.8,606696,22.9,12.2,150234,61.8,21463,31.30%,55.30%,36%,
University of Adelaide,0.08,0.49,201.7,942060,32.8,19.1,382009,273.5,54688,47.10%,55.80%,32.30%,
Western Sydney University,0.04,0.25,31.9,662866,40.3,12.8,58282,71.5,13877,59.70%,51.70%,21.90%,
University of Wollongong,0.05,0.34,72.1,891195,29.1,17.9,122527,102.8,38810,46.80%,59.20%,27.30%,
University of South Australia,0.03,0.18,37.8,663607,32.9,10.8,133097,64.7,87020,45.30%,51.60%,21.40%,
Australian Catholic University,0.01,0.09,14.8,614496,39.1,7.5,15380,22.5,2837,30.20%,51.20%,14.60%,
University of Otago,0.07,0.29,97.4,556326,19.7,10.2,112884,106.2,3605,60%,57.60%,18.90%,
University of Melbourne,0.22,0.83,590.5,860406,23.8,16.7,286146,1008,83513,39.10%,54%,47.40%,
The University of Western Australia,0.08,0.34,95.4,761446,21.3,22,260832,212.3,62795,69.40%,61.30%,28.50%,
Australian National University,0.12,0.4,275.5,768228,14.6,14.7,356461,680.4,16694,56.90%,58.30%,51.50%,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,